strain	virus	raw	date
A00857318	IAVNP	2/23/2012	2012-02-23
A01203372	IAVNP	4/3/2012	2012-04-03
13TOSU1207	IAVNP	7/1/2013	2013-07-01
13TOSU5095	IAVNP	8/31/2013	2013-08-31
A01409423	IAVNP	2013-12	2013-12-15
A01260254	IAVNP	3/20/2013	2013-03-20
A01840053	IAVNP	2/3/2014	2014-02-03
A01475757	IAVNP	6/4/2014	2014-06-04
A01567013	IAVNP	6/16/2014	2014-06-16
A01732322	IAVNP	2/22/2016	2016-02-22
A01410354	IAVNP	2/17/2014	2014-02-17
A01812202	IAVNP	4/24/2016	2016-04-24
A01566286	IAVNP	7/28/2014	2014-07-28
A01555090	IAVNP	12/2/2014	2014-12-02
157671	IAVNP	7/7/1905	1905-07-07
A00968949	IAVNP	7/2/2014	2014-07-02
A02427656	IAVNP	12/10/2018	2018-12-10
13H076	IAVNP	8/28/2013	2013-08-28
A01565507	IAVNP	9/16/2014	2014-09-16
A01781225	IAVNP	9/8/2016	2016-09-08
A01728023	IAVNP	12/16/2015	2015-12-16
A01785299	IAVNP	9/25/2017	2017-09-25
A01785616	IAVNP	9/11/2018	2018-09-11
A01785992	IAVNP	2/27/2019	2019-02-27
A01785724	IAVNP	10/29/2018	2018-10-29
A02245371	IAVNP	12/27/2019	2019-12-27
A02478553	IAVNP	6/7/2019	2019-06-07
A02479429	IAVNP	6/3/2020	2020-06-03
A01104141	IAVNP	2/12/2020	2020-02-12
A01104142	IAVNP	8/25/2020	2020-08-25
A02524632	IAVNP	9/11/2020	2020-09-11
A02524544	IAVNP	8/14/2020	2020-08-14
A02524768	IAVNP	10/21/2020	2020-10-21
A02524639	IAVNP	9/16/2020	2020-09-16
A02479304	IAVNP	5/4/2020	2020-05-04
A02524423	IAVNP	6/8/2020	2020-06-08
A02524484	IAVNP	7/9/2020	2020-07-09
A02524591	IAVNP	8/31/2020	2020-08-31
A02524447	IAVNP	6/26/2020	2020-06-26
A02479259	IAVNP	4/17/2020	2020-04-17
A02478604	IAVNP	8/1/2019	2019-08-01
A02478584	IAVNP	7/10/2019	2019-07-10
A02478890	IAVNP	11/19/2019	2019-11-19
A02479128	IAVNP	3/12/2020	2020-03-12
A01104140	IAVNP	12/27/2019	2019-12-27
A02479161	IAVNP	3/24/2020	2020-03-24
A02524416	IAVNP	6/11/2020	2020-06-11
A02524504	IAVNP	7/24/2020	2020-07-24
A02524606	IAVNP	9/3/2020	2020-09-03
A02524829	IAVNP	10/29/2020	2020-10-29
A02245294	IAVNP	10/15/2019	2019-10-15
A02524478	IAVNP	7/1/2020	2020-07-01
A02524689	IAVNP	10/1/2020	2020-10-01
A02479237	IAVNP	4/16/2020	2020-04-16
A02524712	IAVNP	10/8/2020	2020-10-08
A02479299	IAVNP	5/1/2020	2020-05-01
A02524760	IAVNP	10/17/2020	2020-10-17
A02478636	IAVNP	8/26/2019	2019-08-26
A02478564	IAVNP	6/21/2019	2019-06-21
A02478686	IAVNP	9/17/2019	2019-09-17
A01812305	IAVNP	4/24/2020	2020-04-24
A02479154	IAVNP	3/19/2020	2020-03-19
A02524485	IAVNP	7/10/2020	2020-07-10
A02479023	IAVNP	1/21/2020	2020-01-21
A02479148	IAVNP	3/18/2020	2020-03-18
A02524435	IAVNP	6/18/2020	2020-06-18
A02478980	IAVNP	1/6/2020	2020-01-06
