1990.4	#2E7D32
1990.4.a	#004D40
1990.4.b1	#00796B
1990.4.b2	#00838F
1990.4.c	#00BCD4
1990.4.i	#7E57C2
1A.1.1.3	#00897B
1A.2	#4527A0
1A.3.3.2	#0277BD
1A.3.3.3-c1	#2196F3
1A.3.3.3-c3	#4DB6AC
1A.4	#9C27B0
1B.1.1.1	#388E3C
1B.1.1.2	#2E7D32
1B.1.2.1	#1B5E20
1B.1.2.2	#1B5E20
1B.2.1	#43A047
1B.2.2.1	#AFB42B
1B.2.2.2	#C0CA33
1B.2.7	#FF6F00
1C.2	#F4511E
1C.2.1	#D84315
1C.2.2	#E65100
1C.2.3	#EF6C00
1C.2.4.1	#FF9800
1C.2.4.2	#FFB74D
1C.2.4.3	#8D6E63
1C.2.5	#795548
2000.4	#43A047
2010.1	#CDDC39
2010.2	#FBC02D
Other-Human-2010	#E65100
Other-Human-2020	#EF6C00
